character_name,create_date,cube_type,miracle_time_flag,item_equip_part,item_level,target_item,potential_option_grade,additional_potential_option_grade,before_potential_options,before_additional_potential_options,after_potential_options,after_additional_potential_options
리부트반짝,2023-02-20T19:15:31+09:00,수상한 큐브,이벤트 적용되지 않음,망토,140,펜살리르 메이지케이프,에픽,노멀,"[{'value': 'STR : +6%', 'grade': '에픽'}, {'value': '최대 MP : +120', 'grade': '레어'}]",[],"[{'value': 'INT : +6%', 'grade': '에픽'}, {'value': '방어력 : +3%', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:29+09:00,수상한 큐브,이벤트 적용되지 않음,망토,140,펜살리르 메이지케이프,에픽,노멀,"[{'value': '최대 HP : +6%', 'grade': '에픽'}, {'value': '올스탯 : +5', 'grade': '레어'}]",[],"[{'value': 'STR : +6%', 'grade': '에픽'}, {'value': '최대 MP : +120', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:27+09:00,수상한 큐브,이벤트 적용되지 않음,망토,140,펜살리르 메이지케이프,에픽,노멀,"[{'value': '피격 시 20% 확률로 25의 데미지 무시', 'grade': '에픽'}, {'value': 'LUK : +12', 'grade': '레어'}]",[],"[{'value': '최대 HP : +6%', 'grade': '에픽'}, {'value': '올스탯 : +5', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:21+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': 'STR : +6%', 'grade': '에픽'}, {'value': '방어력 : +120', 'grade': '레어'}, {'value': '최대 HP : +120', 'grade': '레어'}]",[],"[{'value': 'INT : +6%', 'grade': '에픽'}, {'value': '올스탯 : +5', 'grade': '레어'}, {'value': 'STR : +12', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:19+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': 'STR : +6%', 'grade': '에픽'}, {'value': '최대 HP : +120', 'grade': '레어'}, {'value': 'STR : +3%', 'grade': '레어'}]",[],"[{'value': 'STR : +6%', 'grade': '에픽'}, {'value': '방어력 : +120', 'grade': '레어'}, {'value': '최대 HP : +120', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:18+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': '피격 시 30% 확률로 51의 데미지 무시', 'grade': '에픽'}, {'value': 'INT : +12', 'grade': '레어'}, {'value': '최대 HP : +3%', 'grade': '레어'}]",[],"[{'value': 'STR : +6%', 'grade': '에픽'}, {'value': '최대 HP : +120', 'grade': '레어'}, {'value': 'STR : +3%', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:16+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': 'DEX : +6%', 'grade': '에픽'}, {'value': '방어력 : +120', 'grade': '레어'}, {'value': '최대 HP : +3%', 'grade': '레어'}]",[],"[{'value': '피격 시 30% 확률로 51의 데미지 무시', 'grade': '에픽'}, {'value': 'INT : +12', 'grade': '레어'}, {'value': '최대 HP : +3%', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:14+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': '몬스터 처치 시 15% 확률로 95의 HP 회복', 'grade': '에픽'}, {'value': '방어력 : +120', 'grade': '레어'}, {'value': 'LUK : +3%', 'grade': '레어'}]",[],"[{'value': 'DEX : +6%', 'grade': '에픽'}, {'value': '방어력 : +120', 'grade': '레어'}, {'value': '최대 HP : +3%', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:13+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': 'LUK : +6%', 'grade': '에픽'}, {'value': '방어력 : +3%', 'grade': '레어'}, {'value': '최대 HP : +120', 'grade': '레어'}]",[],"[{'value': '몬스터 처치 시 15% 확률로 95의 HP 회복', 'grade': '에픽'}, {'value': '방어력 : +120', 'grade': '레어'}, {'value': 'LUK : +3%', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:10+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': 'STR : +6%', 'grade': '에픽'}, {'value': 'INT : +12', 'grade': '레어'}, {'value': 'INT : +12', 'grade': '레어'}]",[],"[{'value': 'LUK : +6%', 'grade': '에픽'}, {'value': '방어력 : +3%', 'grade': '레어'}, {'value': '최대 HP : +120', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:09+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': '피격 시 20% 확률로 38의 데미지 무시', 'grade': '에픽'}, {'value': '최대 HP : +3%', 'grade': '레어'}, {'value': '최대 MP : +120', 'grade': '레어'}]",[],"[{'value': 'STR : +6%', 'grade': '에픽'}, {'value': 'INT : +12', 'grade': '레어'}, {'value': 'INT : +12', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:07+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': '최대 MP : +6%', 'grade': '에픽'}, {'value': '최대 MP : +3%', 'grade': '레어'}, {'value': '최대 MP : +120', 'grade': '레어'}]",[],"[{'value': '피격 시 20% 확률로 38의 데미지 무시', 'grade': '에픽'}, {'value': '최대 HP : +3%', 'grade': '레어'}, {'value': '최대 MP : +120', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:05+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': '피격 시 20% 확률로 25의 데미지 무시', 'grade': '에픽'}, {'value': '최대 MP : +3%', 'grade': '레어'}, {'value': '방어력 : +3%', 'grade': '레어'}]",[],"[{'value': '최대 MP : +6%', 'grade': '에픽'}, {'value': '최대 MP : +3%', 'grade': '레어'}, {'value': '최대 MP : +120', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:04+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': '몬스터 처치 시 15% 확률로 95의 MP 회복', 'grade': '에픽'}, {'value': '올스탯 : +5', 'grade': '레어'}, {'value': '최대 MP : +3%', 'grade': '레어'}]",[],"[{'value': '피격 시 20% 확률로 25의 데미지 무시', 'grade': '에픽'}, {'value': '최대 MP : +3%', 'grade': '레어'}, {'value': '방어력 : +3%', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:02+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': 'STR : +6%', 'grade': '에픽'}, {'value': '최대 MP : +3%', 'grade': '레어'}, {'value': 'DEX : +3%', 'grade': '레어'}]",[],"[{'value': '몬스터 처치 시 15% 확률로 95의 MP 회복', 'grade': '에픽'}, {'value': '올스탯 : +5', 'grade': '레어'}, {'value': '최대 MP : +3%', 'grade': '레어'}]",[]
리부트반짝,2023-02-20T19:15:00+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 메이지글러브,에픽,노멀,"[{'value': '피격 시 30% 확률로 51의 데미지 무시', 'grade': '에픽'}, {'value': '최대 MP : +120', 'grade': '레어'}, {'value': '최대 MP : +3%', 'grade': '레어'}]",[],"[{'value': 'STR : +6%', 'grade': '에픽'}, {'value': '최대 MP : +3%', 'grade': '레어'}, {'value': 'DEX : +3%', 'grade': '레어'}]",[]
